Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Country,Age,Child,Spending
Graduation,Divorced,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,SP,51,0,1190
Graduation,Single,57091.0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,CA,60,0,577
Graduation,Married,67267.0,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,US,63,1,251
Graduation,Together,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,AUS,54,2,11
Graduation,Single,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,SP,32,1,91
PhD,Single,71691.0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,SP,63,0,1192
2n Cycle,Married,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,GER,67,0,1215
Graduation,Together,44931.0,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,SP,54,1,96
PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,US,67,1,544
PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,IND,67,1,544
2n Cycle,Married,81044.0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,US,74,0,1208
Master,Together,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,SP,42,1,222
PhD,Widow,67786.0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,IND,62,0,1156
Graduation,Married,26872.0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,CA,40,0,72
Graduation,Married,4428.0,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,SP,52,1,359
Graduation,Married,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,SP,44,2,174
Graduation,Married,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,SP,44,2,174
PhD,Divorced,32173.0,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,SP,63,1,22
2n Cycle,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,CA,61,1,72
Master,Single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,CA,63,3,13
Master,Together,36634.0,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,SA,67,1,335
Master,Single,43456.0,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,IND,55,1,393
Master,Married,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,GER,42,1,92
PhD,Married,49544.0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,SP,45,1,404
Graduation,Single,57731.0,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,IND,52,1,704
Master,Single,33168.0,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,SP,56,1,122
Graduation,Together,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,SP,65,2,684
Graduation,Together,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,SP,65,2,684
PhD,Widow,35340.0,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,SP,65,2,45
Graduation,Single,73170.0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,CA,46,0,726
PhD,Divorced,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,SP,50,2,272
Graduation,Married,79529.0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,CA,35,0,1638
PhD,Together,34578.0,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,AUS,49,3,8
PhD,Married,46374.0,1,408,0,21,0,0,17,3,7,1,7,8,0,1,0,1,0,IND,47,1,446
Graduation,Married,18351.0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,SP,31,0,43
PhD,Single,95169.0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,SP,34,0,1901
2n Cycle,Married,65370.0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,SP,37,0,461
Master,Divorced,39228.0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,SA,61,0,20
PhD,Single,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,SP,60,0,1688
Graduation,Married,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,SP,53,1,1008
Graduation,Single,21359.0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,CA,49,1,48
PhD,Married,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,SP,66,1,1485
2n Cycle,Single,81698.0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,SP,38,0,1104
Graduation,Single,39146.0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,SP,35,1,165
2n Cycle,Divorced,25959.0,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,SP,51,2,56
Graduation,Together,64260.0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,SP,60,0,1574
Graduation,Married,32300.0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,SP,48,1,39
Master,Married,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,AUS,56,1,965
Graduation,Divorced,72967.0,1,158,35,179,0,0,125,2,7,2,8,5,1,0,0,0,0,GER,51,1,497
Graduation,Single,48904.0,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,US,61,1,371
2n Cycle,Married,14796.0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,GER,37,1,51
Master,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,GER,67,0,1253
2n Cycle,Single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,SA,43,3,17
Graduation,Married,90369.0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,SP,65,0,1588
Basic,Married,18393.0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,SP,47,1,50
Graduation,Single,47139.0,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,SP,69,2,83
Master,Married,38576.0,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,IND,48,1,41
PhD,Together,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,SA,46,1,231
Graduation,Married,83715.0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,SA,59,0,926
Graduation,Married,60597.0,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,SP,57,1,893
Master,Single,6560.0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,SP,39,0,373
Master,Together,48330.0,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,SP,60,1,32
